station_name,lat,lon,scene_id,date,cloud_cover,ndmi_mean,datetime,date_only,year
Ada,34.60278,-96.71456,LC09_L2SP_027036_20240415_02_T2,2024-04-15 17:01:41.326448+00:00,100.0,,2024-04-15 17:01:41.326448+00:00,2024-04-15,2024
Ada,34.60265,-96.70056,LC08_L2SP_027036_20240423_02_T1,2024-04-23 17:01:16.150838+00:00,5.09,,2024-04-23 17:01:16.150838+00:00,2024-04-23,2024
Ada,34.60269,-96.68239,LC09_L2SP_027036_20240501_02_T1,2024-05-01 17:01:24.794452+00:00,61.68,,2024-05-01 17:01:24.794452+00:00,2024-05-01,2024
Ada,34.60291,-96.69863,LC08_L2SP_027036_20240509_02_T1,2024-05-09 17:01:04.888690+00:00,58.27,,2024-05-09 17:01:04.888690+00:00,2024-05-09,2024
Ada,34.60282,-96.68723,LC09_L2SP_027036_20240517_02_T1,2024-05-17 17:01:16.768725+00:00,64.78,,2024-05-17 17:01:16.768725+00:00,2024-05-17,2024
Ada,34.60279,-96.6908,LC08_L2SP_027036_20240525_02_T1,2024-05-25 17:00:51.823737+00:00,48.15,,2024-05-25 17:00:51.823737+00:00,2024-05-25,2024
Ada,34.60281,-96.7023,LC09_L2SP_027036_20240602_02_T1,2024-06-02 17:01:10.777055+00:00,100.0,,2024-06-02 17:01:10.777055+00:00,2024-06-02,2024
Ada,34.60282,-96.65286,LC08_L2SP_027036_20240610_02_T1,2024-06-10 17:00:53.399135+00:00,82.29,,2024-06-10 17:00:53.399135+00:00,2024-06-10,2024
Ada,34.60308,-96.68673,LC09_L2SP_027036_20240618_02_T1,2024-06-18 17:00:57.227882+00:00,66.69,,2024-06-18 17:00:57.227882+00:00,2024-06-18,2024
Ada,34.6027,-96.66523,LC08_L2SP_027036_20240626_02_T1,2024-06-26 17:01:05.298493+00:00,36.18,,2024-06-26 17:01:05.298493+00:00,2024-06-26,2024
Ada,34.60267,-96.68979,LC09_L2SP_027036_20240704_02_T1,2024-07-04 17:01:04.523634+00:00,4.98,0.0969413087584639,2024-07-04 17:01:04.523634+00:00,2024-07-04,2024
Ada,34.60255,-96.66285,LC08_L2SP_027036_20240712_02_T1,2024-07-12 17:01:13.402730+00:00,10.14,0.1100844412303238,2024-07-12 17:01:13.402730+00:00,2024-07-12,2024
Ada,34.60307,-96.69555,LC09_L2SP_027036_20240720_02_T1,2024-07-20 17:01:15.661999+00:00,91.42,,2024-07-20 17:01:15.661999+00:00,2024-07-20,2024
Ada,34.60284,-96.68153,LC08_L2SP_027036_20240728_02_T1,2024-07-28 17:01:25.922334+00:00,6.44,0.1161334866223143,2024-07-28 17:01:25.922334+00:00,2024-07-28,2024
Ada,34.60298,-96.67279,LC09_L2SP_027036_20240805_02_T1,2024-08-05 17:01:19.362597+00:00,4.12,0.0838651228778517,2024-08-05 17:01:19.362597+00:00,2024-08-05,2024
Ada,34.60263,-96.65717,LC08_L2SP_027036_20240813_02_T1,2024-08-13 17:01:27.433285+00:00,5.89,0.1693935644968194,2024-08-13 17:01:27.433285+00:00,2024-08-13,2024
Ada,34.60292,-96.69243,LC09_L2SP_027036_20240821_02_T1,2024-08-21 17:01:32.242686+00:00,0.51,0.138709777018768,2024-08-21 17:01:32.242686+00:00,2024-08-21,2024
Ada,34.60269,-96.65952,LC08_L2SP_027036_20240829_02_T1,2024-08-29 17:01:34.333416+00:00,32.19,0.1721598180466399,2024-08-29 17:01:34.333416+00:00,2024-08-29,2024
Ada,34.6029,-96.65618,LC09_L2SP_027036_20240906_02_T1,2024-09-06 17:01:30.707817+00:00,27.68,0.0898051185291873,2024-09-06 17:01:30.707817+00:00,2024-09-06,2024
Ada,34.60266,-96.67608,LC08_L2SP_027036_20240914_02_T1,2024-09-14 17:01:43.517135+00:00,46.32,,2024-09-14 17:01:43.517135+00:00,2024-09-14,2024
Ada,34.60296,-96.64617,LC09_L2SP_027036_20240922_02_T1,2024-09-22 17:01:34.125114+00:00,37.44,,2024-09-22 17:01:34.125114+00:00,2024-09-22,2024
Ada,34.60269,-96.63421,LC08_L2SP_027036_20240930_02_T1,2024-09-30 17:01:37.660553+00:00,0.0,0.0381613552697119,2024-09-30 17:01:37.660553+00:00,2024-09-30,2024
Ada,34.60304,-96.65498,LC09_L2SP_027036_20241008_02_T1,2024-10-08 17:01:41.105491+00:00,0.01,0.0231311343013818,2024-10-08 17:01:41.105491+00:00,2024-10-08,2024
Ada,34.60265,-96.68305,LC08_L2SP_027036_20241016_02_T1,2024-10-16 17:01:52.366593+00:00,0.01,0.010840576609877,2024-10-16 17:01:52.366593+00:00,2024-10-16,2024
Ada,34.60278,-96.71259,LC09_L2SP_027036_20241024_02_T1,2024-10-24 17:01:58.628895+00:00,0.02,-0.0154055893991355,2024-10-24 17:01:58.628895+00:00,2024-10-24,2024
Ada,34.60257,-96.63761,LC08_L2SP_027036_20241101_02_T1,2024-11-01 17:01:43.584358+00:00,60.29,,2024-11-01 17:01:43.584358+00:00,2024-11-01,2024
Ada,34.60269,-96.67596,LC09_L2SP_027036_20241109_02_T1,2024-11-09 17:01:52.930714+00:00,0.03,-0.01684966149659,2024-11-09 17:01:52.930714+00:00,2024-11-09,2024
Ada,34.60285,-96.66499,LC08_L2SP_027036_20241117_02_T2,2024-11-17 17:01:51.247201+00:00,86.23,,2024-11-17 17:01:51.247201+00:00,2024-11-17,2024
Ada,34.60251,-96.71482,LC09_L2SP_027036_20241125_02_T2,2024-11-25 17:02:04.562912+00:00,100.0,,2024-11-25 17:02:04.562912+00:00,2024-11-25,2024
Ada,34.60263,-96.6922,LC08_L2SP_027036_20241203_02_T1,2024-12-03 17:01:58.155969+00:00,0.06,-0.0947022147468202,2024-12-03 17:01:58.155969+00:00,2024-12-03,2024
Ada,34.60254,-96.667,LC09_L2SP_027036_20241211_02_T1,2024-12-11 17:01:54.799457+00:00,0.02,-0.11777176740689,2024-12-11 17:01:54.799457+00:00,2024-12-11,2024
Ada,34.60262,-96.66137,LC08_L2SP_027036_20241219_02_T1,2024-12-19 17:01:50.324075+00:00,51.55,-0.07016756566631,2024-12-19 17:01:50.324075+00:00,2024-12-19,2024
Ada,34.60249,-96.68128,LC09_L2SP_027036_20241227_02_T1,2024-12-27 17:01:58.921393+00:00,84.76,,2024-12-27 17:01:58.921393+00:00,2024-12-27,2024
Altus,34.60184,-99.79225,LC09_L2SP_029036_20240108_02_T1,2024-01-08 17:14:25.286927+00:00,57.1,,2024-01-08 17:14:25.286927+00:00,2024-01-08,2024
Altus,34.60181,-99.79578,LC08_L2SP_029036_20240116_02_T1,2024-01-16 17:14:17.578706+00:00,0.01,0.089468924150742,2024-01-16 17:14:17.578706+00:00,2024-01-16,2024
Altus,34.60182,-99.79039,LC09_L2SP_029036_20240124_02_T2,2024-01-24 17:14:22.927668+00:00,99.91,,2024-01-24 17:14:22.927668+00:00,2024-01-24,2024
Altus,34.60169,-99.79959,LC08_L2SP_029036_20240201_02_T1,2024-02-01 17:14:14.426254+00:00,2.09,0.170890338912325,2024-02-01 17:14:14.426254+00:00,2024-02-01,2024
Altus,34.60193,-99.82793,LC09_L2SP_029036_20240209_02_T1,2024-02-09 17:14:28.646894+00:00,100.0,,2024-02-09 17:14:28.646894+00:00,2024-02-09,2024
Altus,34.60172,-99.82132,LC08_L2SP_029036_20240217_02_T2,2024-02-17 17:14:14.311561+00:00,96.83,,2024-02-17 17:14:14.311561+00:00,2024-02-17,2024
Altus,34.60177,-99.79721,LC09_L2SP_029036_20240225_02_T1,2024-02-25 17:14:16.824989+00:00,0.01,0.3424695903071104,2024-02-25 17:14:16.824989+00:00,2024-02-25,2024
Altus,34.60177,-99.80971,LC08_L2SP_029036_20240304_02_T1,2024-03-04 17:14:04.844625+00:00,30.76,,2024-03-04 17:14:04.844625+00:00,2024-03-04,2024
